
running 322 tests
test reference_fixtures_preprocessor_teozaltelseparallel_0005_puml ... FAILED
test reference_fixtures_preprocessor_teozaltelseparallel_0003_puml ... FAILED
test reference_fixtures_preprocessor_teozaltelseparallel_0004_puml ... FAILED
test reference_fixtures_preprocessor_svg0004_smetana_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0001_puml ... FAILED
test reference_fixtures_preprocessor_svg0004_svek_puml ... FAILED
test reference_fixtures_regex_alternation_puml ... FAILED
test reference_fixtures_regex_basic_puml ... FAILED
test reference_fixtures_salt_basic_puml ... FAILED
test reference_fixtures_preprocessor_teozaltelseparallel_0006_puml ... FAILED
test reference_fixtures_regex_complex_puml ... FAILED
test reference_fixtures_preprocessor_subdiagram_theme_01_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0002_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0003_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0005_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0004_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0006_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0008_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0007_puml ... FAILED
test reference_fixtures_sequence_a0000_puml ... FAILED
test reference_fixtures_sequence_a0006_puml ... FAILED
test reference_fixtures_preprocessor_teoztimelineissues_0009_puml ... FAILED
test reference_fixtures_sequence_jaws10_puml ... FAILED
test reference_fixtures_sequence_intermediatetest_0000_puml ... FAILED
test reference_fixtures_preprocessor_svg0006_svek_puml ... FAILED
test reference_fixtures_sequence_jaws11_puml ... FAILED
test reference_fixtures_sequence_a0001_puml ... FAILED
test reference_fixtures_sequence_jaws4_puml ... FAILED
test reference_fixtures_sequence_jaws2_puml ... FAILED
test reference_fixtures_sequence_seq_autonumber001_puml ... FAILED
test reference_fixtures_sequence_seq_alt001_puml ... FAILED
test reference_fixtures_sequence_seq_critical001_puml ... FAILED
test reference_fixtures_sequence_seq_break001_puml ... FAILED
test reference_fixtures_sequence_seq_divider001_puml ... FAILED
test reference_fixtures_sequence_seq_loop001_puml ... FAILED
test reference_fixtures_sequence_seq_group001_puml ... FAILED
test reference_fixtures_sequence_seq_opt001_puml ... FAILED
test reference_fixtures_sequence_seq_nested001_puml ... FAILED
test reference_fixtures_sequence_seq_ref001_puml ... FAILED
test reference_fixtures_sequence_seq_par001_puml ... FAILED
test reference_fixtures_sequence_seq_participants001_puml ... FAILED
test reference_fixtures_sequence_sequencelayout_0002_puml ... FAILED
test reference_fixtures_sequence_sequencelayout_0001_puml ... FAILED
test reference_fixtures_sequence_sequencelayout_0006_puml ... FAILED
test reference_fixtures_sequence_sequencelayout_0001b_puml ... FAILED
test reference_fixtures_sequence_sequencelayout_0003_puml ... FAILED
test reference_fixtures_sequence_sequenceleftmessageandactivelifelines_0002_puml ... FAILED
test reference_fixtures_sequence_sequencelayout_0001c_puml ... FAILED
test reference_fixtures_sequence_svg0001_puml ... FAILED
test reference_fixtures_sequence_test_0_puml ... FAILED
test reference_fixtures_sprite_linearGradientSpreadPad_puml ... FAILED
test reference_fixtures_sequence_svg0003_puml ... FAILED
test reference_fixtures_sprite_svgFillColourTest_2174_puml ... FAILED
test reference_fixtures_sprite_linearGradientSpreadReflect_puml ... FAILED
test reference_fixtures_sprite_azureSVG_puml ... FAILED
test reference_fixtures_sprite_linearGradientSpreadRepeat_puml ... FAILED
test reference_fixtures_sequence_sequenceleftmessageandactivelifelines_0003_puml ... FAILED
test reference_fixtures_sprite_styleFontWeightRoboto_puml ... FAILED
test reference_fixtures_sprite_svg2GroupsWithStyle_puml ... FAILED
test reference_fixtures_sprite_svg2Groups_puml ... FAILED
test reference_fixtures_sprite_svgDiagonalGradientBLTRMonochrome_puml ... FAILED
test reference_fixtures_sprite_svg2GroupsInlineStyled_puml ... FAILED
test reference_fixtures_sprite_svgDiagonalGradientTLBR_puml ... FAILED
test reference_fixtures_sprite_svgEmbeddedPNG_puml ... FAILED
test reference_fixtures_sprite_svgDiagonalGradientBLTR_puml ... FAILED
test reference_fixtures_sprite_svgPolygonStar_puml ... FAILED
test reference_fixtures_sprite_svgFontWeightStandardFonts_puml ... FAILED
test reference_fixtures_sprite_svgFontWeightMultiWeight_puml ... FAILED
test reference_fixtures_sprite_svgLinearGradientCircle_puml ... FAILED
test reference_fixtures_sprite_svgRedCircle_puml ... FAILED
test reference_fixtures_sprite_svgRadialGradient_puml ... FAILED
test reference_fixtures_sprite_svgRedEllipse_puml ... FAILED
test reference_fixtures_sprite_svgRedLine_puml ... FAILED
test reference_fixtures_sprite_svgRedPolyLine_puml ... FAILED
test reference_fixtures_sprite_svgRedRectLinearGradient_puml ... FAILED
test reference_fixtures_sprite_svgRedRect_puml ... FAILED
test reference_fixtures_sprite_svgTransformRotate_puml ... FAILED
test reference_fixtures_sprite_svgTransformMatrix_puml ... FAILED
test reference_fixtures_sprite_svgTransformTranslate_puml ... FAILED
test reference_fixtures_sprite_svgTransformScale_puml ... FAILED
test reference_fixtures_sprite_svgTransformGroup_puml ... FAILED
test reference_fixtures_sprite_svgRedStroke_puml ... FAILED
test reference_fixtures_sprite_svgRedText_puml ... FAILED
test reference_fixtures_state_scxml0001_puml ... FAILED
test reference_fixtures_sprite_svgTextAnchor_puml ... FAILED
test reference_fixtures_state_scxml0005_puml ... FAILED
test reference_fixtures_sprite_svgTextBold_puml ... FAILED
test reference_fixtures_sprite_svgTextDecoration_puml ... FAILED
test reference_fixtures_state_state_choice001_puml ... FAILED
test reference_fixtures_state_scxml0002_puml ... FAILED
test reference_fixtures_state_scxml0004_puml ... FAILED
test reference_fixtures_sprite_svgTextItalic_puml ... FAILED
test reference_fixtures_state_state_monoline_01_puml ... FAILED
test reference_fixtures_state_state_monoline_02_puml ... FAILED
test reference_fixtures_timing_timingmessagearrowfont_0001_puml ... FAILED
test reference_fixtures_sprite_svgTextStyleAttr_puml ... FAILED
test reference_fixtures_state_state_monoline_03_puml ... FAILED
test reference_fixtures_timing_timingmessagearrowfont_0002_puml ... FAILED
test reference_fixtures_sprite_svgVerticalGradient_puml ... FAILED
test reference_fixtures_wbs_link_url_tooltip_01_puml ... FAILED
test reference_fixtures_sprite_svgUseDefs_puml ... FAILED
test reference_fixtures_state_state_fork001_puml ... FAILED
test reference_fixtures_state_state_history001_puml ... FAILED
test reference_fixtures_wbs_link_url_tooltip_02_puml ... FAILED
test reference_fixtures_wbs_link_url_tooltip_03_puml ... FAILED
test reference_fixtures_wbs_wbs_arrow_puml ... FAILED
test reference_fixtures_usecase_basic_puml ... FAILED
test reference_fixtures_sprite_testPolylineSprites_puml ... FAILED
test reference_fixtures_wbs_wbs_direction_puml ... FAILED
test reference_fixtures_yaml_basic_puml ... FAILED
test reference_fixtures_state_state_concurrent001_puml ... FAILED
test reference_fixtures_usecase_colon_actor_puml ... FAILED
test reference_fixtures_sprite_testGradientSprite_puml ... FAILED
test reference_fixtures_wire_basic_puml ... FAILED
test reference_fixtures_state_state_note001_puml ... FAILED
test reference_fixtures_usecase_boundary_puml ... FAILED
test reference_fixtures_wire_multi_puml ... FAILED
test reference_fixtures_state_scxml0003_puml ... FAILED
test reference_fixtures_dev_jaws_jaws1_puml ... FAILED
test reference_fixtures_preprocessor_jaws1_puml ... FAILED

failures:

---- reference_fixtures_chart_single_series_puml stdout ----

thread 'reference_fixtures_chart_single_series_puml' (2164081) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/chart/single_series.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_chronology_basic_puml stdout ----

thread 'reference_fixtures_chronology_basic_puml' (2164082) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/chronology/basic.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace

---- reference_fixtures_chart_bar_basic_puml stdout ----

thread 'reference_fixtures_chart_bar_basic_puml' (2164079) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/chart/bar_basic.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_board_basic_puml stdout ----

thread 'reference_fixtures_board_basic_puml' (2164078) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/board/basic.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_swimlane001_puml stdout ----

thread 'reference_fixtures_activity_swimlane001_puml' (2164075) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/swimlane001.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_activity_mono_multi_line2_puml stdout ----

thread 'reference_fixtures_activity_activity_mono_multi_line2_puml' (2164071) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/activity_mono_multi_line2.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_activity_mono_multi_line2_v2_puml stdout ----

thread 'reference_fixtures_activity_activity_mono_multi_line2_v2_puml' (2164072) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/activity_mono_multi_line2_v2.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_activity_creole_table_01_puml stdout ----

thread 'reference_fixtures_activity_activity_creole_table_01_puml' (2164069) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/activity_creole_table_01.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_activity_mono_multi_line_puml stdout ----

thread 'reference_fixtures_activity_activity_mono_multi_line_puml' (2164073) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/activity_mono_multi_line.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_activity_mono_multi_line_v2_puml stdout ----

thread 'reference_fixtures_activity_activity_mono_multi_line_v2_puml' (2164074) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/activity_mono_multi_line_v2.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_activity_activity_creole_table_02_puml stdout ----

thread 'reference_fixtures_activity_activity_creole_table_02_puml' (2164070) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/activity/activity_creole_table_02.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_archimate_basic_puml stdout ----

thread 'reference_fixtures_archimate_basic_puml' (2164076) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/archimate/basic.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
actual:   ...<svg xmlns="http://www.w3.org/2000/svg" x...

---- reference_fixtures_archimate_layers_puml stdout ----

thread 'reference_fixtures_archimate_layers_puml' (2164077) panicked at tests/reference_tests.rs:79:5:
tests/fixtures/archimate/layers.puml: output differs from reference at line 1 col 2
expected: ...<?plantuml 1.2026.2?><svg xmlns="http://w...
